client_id,tranche_age,region,abonnement_type,anciennete_mois,mobilite,interets,categorie,prestation,prix,duree_min,niveau,mois,inscription,reinscription,statut
C030,70-79,Bretagne,Premium,48,Faible,accompagnement,Loisirs,Sortie culturelle,60.61,90,Facile,2025-05,1,1,Terminé
C031,70-79,Bretagne,Premium,22,Moyenne,"administratif,loisirs,accompagnement",Administratif,Gestion courrier,52.97,30,Moyen,2025-11,1,0,Terminé
C032,70-79,PACA,Basique,60,Élevée,"administratif,accompagnement",Administratif,Gestion courrier,28.8,30,Facile,2025-03,1,1,Terminé
C033,80+,Île-de-France,Premium,24,Moyenne,"loisirs,santé",Accompagnement,Visite à domicile,62.31,60,Avancé,2025-07,1,1,Annulé
C034,70-79,PACA,Premium,7,Faible,loisirs,Accompagnement,Visite à domicile,44.01,30,Facile,2025-01,1,1,Terminé
C035,60-69,Bretagne,Basique,20,Faible,accompagnement,Accompagnement,Aide courses,51.39,30,Facile,2025-01,1,0,Terminé
C036,80+,Île-de-France,Premium,9,Élevée,"administratif,loisirs",Santé,Atelier bien-être,43.3,60,Facile,2025-05,1,0,Terminé
C037,70-79,Île-de-France,Basique,52,Élevée,administratif,Administratif,Gestion courrier,45.0,30,Moyen,2025-02,1,1,Terminé
C038,70-79,Bretagne,Basique,32,Moyenne,"loisirs,santé",Loisirs,Sortie culturelle,42.85,60,Moyen,2025-01,1,0,Terminé
C039,70-79,Île-de-France,Basique,54,Élevée,loisirs,Administratif,Aide démarches,55.11,30,Avancé,2025-10,1,1,Annulé
C040,60-69,Île-de-France,Premium,12,Moyenne,accompagnement,Loisirs,Atelier créatif,60.29,60,Facile,2025-03,1,0,Terminé
C041,70-79,Bretagne,Basique,58,Moyenne,"loisirs,santé,accompagnement",Accompagnement,Visite à domicile,62.24,90,Avancé,2025-12,1,0,Terminé
C042,70-79,Auvergne-Rhône-Alpes,Basique,33,Faible,"accompagnement,loisirs",Santé,Atelier bien-être,71.74,30,Moyen,2025-10,1,0,Terminé
C043,60-69,Bretagne,Premium,52,Moyenne,"santé,loisirs",Loisirs,Atelier créatif,27.73,90,Moyen,2025-11,1,1,Terminé
C044,60-69,Île-de-France,Premium,2,Moyenne,"administratif,accompagnement",Santé,Suivi médical,40.7,60,Facile,2025-05,1,0,Terminé
C045,70-79,PACA,Basique,25,Moyenne,accompagnement,Accompagnement,Transport,50.7,90,Avancé,2025-01,1,1,Terminé
C046,70-79,Bretagne,Premium,46,Moyenne,"santé,administratif",Loisirs,Sortie culturelle,64.85,60,Facile,2025-03,1,1,Terminé
C047,70-79,Occitanie,Basique,57,Moyenne,"loisirs,accompagnement,santé",Loisirs,Sortie culturelle,53.84,30,Facile,2025-10,1,1,Annulé
C048,70-79,Île-de-France,Basique,2,Moyenne,"santé,loisirs",Accompagnement,Aide courses,53.87,60,Facile,2025-06,1,0,Terminé
C049,60-69,Auvergne-Rhône-Alpes,Premium,36,Élevée,administratif,Loisirs,Sortie culturelle,31.19,60,Moyen,2025-08,1,0,Confirmé
C050,70-79,Bretagne,Premium,30,Élevée,"santé,loisirs,administratif",Administratif,Gestion courrier,30.25,90,Moyen,2025-02,1,1,Terminé
C051,60-69,Occitanie,Basique,25,Moyenne,"administratif,loisirs,santé",Santé,Séance kiné,62.43,60,Facile,2025-05,1,1,Terminé
C052,70-79,Auvergne-Rhône-Alpes,Basique,49,Moyenne,santé,Santé,Atelier bien-être,25.27,90,Moyen,2025-01,1,1,Terminé
C053,70-79,Auvergne-Rhône-Alpes,Basique,48,Élevée,"administratif,accompagnement",Administratif,Gestion courrier,30.87,90,Avancé,2025-06,1,1,Terminé
C054,80+,Bretagne,Basique,29,Moyenne,loisirs,Accompagnement,Visite à domicile,41.53,30,Moyen,2025-02,1,0,Terminé
C055,70-79,Auvergne-Rhône-Alpes,Basique,32,Moyenne,"loisirs,administratif,accompagnement",Administratif,Accès numérique,51.91,30,Avancé,2025-03,1,1,Terminé
C056,70-79,Auvergne-Rhône-Alpes,Basique,51,Moyenne,administratif,Accompagnement,Aide courses,29.1,30,Moyen,2025-11,1,1,Confirmé
C057,70-79,PACA,Basique,9,Faible,"loisirs,accompagnement",Accompagnement,Transport,67.84,30,Facile,2025-04,1,0,Terminé
C058,70-79,Auvergne-Rhône-Alpes,Basique,25,Faible,santé,Administratif,Gestion courrier,33.64,90,Facile,2025-11,1,1,Terminé
C059,70-79,Île-de-France,Basique,39,Élevée,administratif,Accompagnement,Aide courses,54.58,60,Facile,2025-03,1,0,Terminé
C060,80+,Île-de-France,Basique,20,Faible,"loisirs,accompagnement",Accompagnement,Transport,33.64,90,Facile,2025-09,1,0,Annulé
C061,80+,PACA,Basique,51,Faible,"administratif,santé,accompagnement",Santé,Atelier bien-être,75.11,90,Facile,2025-11,1,1,Confirmé
C062,70-79,Bretagne,Premium,48,Moyenne,"santé,administratif,accompagnement",Santé,Suivi médical,30.68,30,Facile,2025-06,1,0,Terminé
C063,60-69,Île-de-France,Basique,29,Élevée,"santé,loisirs,administratif",Loisirs,Atelier mémoire,57.5,30,Facile,2025-08,1,1,Terminé
C064,70-79,PACA,Basique,27,Moyenne,"accompagnement,santé",Santé,Suivi médical,24.53,90,Facile,2025-10,1,0,Terminé
C065,80+,Occitanie,Premium,6,Moyenne,loisirs,Santé,Séance kiné,50.33,60,Facile,2025-05,1,1,Terminé
C066,60-69,PACA,Premium,23,Élevée,"accompagnement,loisirs",Loisirs,Atelier créatif,39.44,60,Facile,2025-07,1,0,Terminé
C067,60-69,Auvergne-Rhône-Alpes,Basique,59,Élevée,accompagnement,Loisirs,Atelier créatif,42.78,90,Facile,2025-04,1,1,Terminé
C068,70-79,PACA,Premium,34,Élevée,"administratif,loisirs",Accompagnement,Transport,73.67,30,Facile,2025-01,1,1,Terminé
C069,70-79,Île-de-France,Basique,42,Moyenne,"accompagnement,administratif",Accompagnement,Aide courses,21.1,60,Moyen,2025-10,1,1,Annulé
C070,70-79,Île-de-France,Basique,11,Faible,"accompagnement,administratif",Administratif,Gestion courrier,63.93,60,Moyen,2025-09,1,0,Terminé
C071,80+,Bretagne,Basique,57,Faible,"administratif,santé",Santé,Suivi médical,56.19,60,Facile,2025-11,1,1,Terminé
C072,70-79,Auvergne-Rhône-Alpes,Premium,54,Moyenne,"administratif,accompagnement",Santé,Séance kiné,35.74,90,Moyen,2025-01,1,1,Terminé
C073,70-79,PACA,Basique,8,Faible,loisirs,Accompagnement,Visite à domicile,47.58,90,Moyen,2025-05,1,1,Terminé
C074,60-69,Occitanie,Basique,43,Élevée,administratif,Accompagnement,Aide courses,31.11,60,Avancé,2025-03,1,0,Terminé
C075,70-79,Île-de-France,Premium,11,Faible,"administratif,loisirs",Santé,Atelier bien-être,55.3,30,Facile,2025-05,1,0,Terminé
C076,60-69,Île-de-France,Basique,7,Élevée,"administratif,accompagnement,loisirs",Administratif,Accès numérique,47.31,90,Moyen,2025-01,1,0,Terminé
C077,70-79,Bretagne,Basique,36,Moyenne,"santé,loisirs",Accompagnement,Aide courses,52.3,60,Facile,2025-02,1,1,Terminé
C078,80+,PACA,Basique,41,Élevée,"loisirs,accompagnement,santé",Loisirs,Atelier créatif,24.2,60,Facile,2025-01,1,1,Terminé
C079,70-79,Occitanie,Premium,9,Faible,"loisirs,accompagnement,santé",Santé,Séance kiné,48.04,60,Avancé,2025-02,1,1,Confirmé
C080,60-69,Île-de-France,Basique,56,Élevée,"accompagnement,administratif,santé",Loisirs,Sortie culturelle,78.94,90,Avancé,2025-11,1,0,Terminé
C081,70-79,Occitanie,Basique,19,Élevée,"loisirs,accompagnement",Santé,Séance kiné,30.59,60,Facile,2025-10,1,0,Terminé
C082,60-69,Île-de-France,Basique,19,Élevée,accompagnement,Administratif,Gestion courrier,79.78,90,Moyen,2025-06,1,0,Terminé
C083,60-69,Occitanie,Basique,33,Moyenne,"loisirs,accompagnement,santé",Santé,Atelier bien-être,71.73,30,Facile,2025-09,1,1,Confirmé
C084,70-79,Auvergne-Rhône-Alpes,Premium,25,Moyenne,administratif,Santé,Suivi médical,23.69,30,Facile,2025-03,1,0,Terminé
C085,70-79,Auvergne-Rhône-Alpes,Premium,32,Élevée,"loisirs,administratif,santé",Administratif,Aide démarches,40.04,30,Moyen,2025-10,1,1,Terminé
C086,60-69,Bretagne,Premium,57,Moyenne,"santé,accompagnement,loisirs",Administratif,Aide démarches,64.61,90,Facile,2025-02,1,1,Terminé
C087,60-69,Bretagne,Basique,48,Moyenne,"accompagnement,administratif,santé",Santé,Séance kiné,65.66,60,Facile,2025-02,1,1,Terminé
C088,80+,Bretagne,Premium,19,Moyenne,"santé,loisirs",Accompagnement,Visite à domicile,62.51,60,Facile,2025-10,1,1,Terminé
C089,80+,Bretagne,Basique,58,Faible,loisirs,Santé,Atelier bien-être,42.31,90,Facile,2025-07,1,1,Annulé
C090,80+,Île-de-France,Basique,40,Faible,"loisirs,administratif,accompagnement",Santé,Atelier bien-être,66.37,60,Facile,2025-03,1,0,Confirmé
C091,70-79,Bretagne,Premium,36,Moyenne,"loisirs,accompagnement",Administratif,Aide démarches,39.24,60,Facile,2025-03,1,1,Terminé
C092,70-79,Occitanie,Basique,7,Faible,loisirs,Santé,Séance kiné,70.69,90,Moyen,2025-12,1,1,Terminé
C093,70-79,Île-de-France,Basique,6,Faible,administratif,Santé,Atelier bien-être,39.56,60,Moyen,2025-11,1,0,Confirmé
C094,70-79,PACA,Basique,30,Moyenne,"loisirs,administratif,accompagnement",Administratif,Aide démarches,22.38,60,Moyen,2025-09,1,1,Terminé
C095,60-69,Occitanie,Premium,9,Élevée,"administratif,loisirs",Loisirs,Atelier mémoire,41.04,30,Moyen,2025-10,1,0,Confirmé
C096,70-79,PACA,Premium,33,Faible,loisirs,Accompagnement,Visite à domicile,55.69,30,Facile,2025-09,1,0,Terminé
C097,70-79,Occitanie,Basique,58,Moyenne,"santé,administratif,loisirs",Accompagnement,Transport,58.61,30,Facile,2025-11,1,1,Terminé
C098,70-79,Île-de-France,Premium,57,Faible,"administratif,loisirs",Accompagnement,Aide courses,59.52,90,Facile,2025-06,1,1,Annulé
C099,80+,Île-de-France,Basique,27,Faible,"administratif,loisirs,accompagnement",Santé,Suivi médical,70.43,30,Avancé,2025-10,1,0,Terminé
C100,70-79,Occitanie,Premium,59,Faible,accompagnement,Santé,Atelier bien-être,49.2,60,Moyen,2025-04,1,1,Annulé
C101,70-79,Bretagne,Basique,44,Moyenne,loisirs,Accompagnement,Visite à domicile,30.78,60,Avancé,2025-07,1,1,Confirmé
C102,70-79,Occitanie,Basique,13,Moyenne,administratif,Santé,Séance kiné,38.73,60,Avancé,2025-05,1,1,Terminé
C103,60-69,Bretagne,Basique,30,Moyenne,"santé,administratif,accompagnement",Loisirs,Sortie culturelle,60.16,30,Facile,2025-04,1,1,Terminé
C104,60-69,Occitanie,Basique,42,Élevée,loisirs,Administratif,Accès numérique,72.1,90,Facile,2025-02,1,0,Confirmé
C105,60-69,PACA,Basique,54,Moyenne,loisirs,Santé,Séance kiné,22.49,60,Facile,2025-02,1,0,Confirmé
C106,80+,PACA,Premium,38,Faible,"accompagnement,santé,loisirs",Accompagnement,Transport,21.8,30,Facile,2025-02,1,1,Terminé
C107,80+,Île-de-France,Premium,28,Faible,accompagnement,Accompagnement,Transport,78.72,90,Moyen,2025-02,1,1,Terminé
C108,80+,Île-de-France,Basique,7,Moyenne,loisirs,Accompagnement,Aide courses,60.02,30,Facile,2025-12,1,1,Terminé
C109,70-79,Île-de-France,Basique,47,Moyenne,loisirs,Santé,Atelier bien-être,44.25,60,Avancé,2025-03,1,0,Terminé
C110,80+,Auvergne-Rhône-Alpes,Premium,0,Faible,"loisirs,accompagnement",Santé,Atelier bien-être,43.77,30,Facile,2025-09,1,0,Terminé
C111,70-79,PACA,Basique,7,Moyenne,"administratif,santé",Loisirs,Sortie culturelle,77.09,60,Facile,2025-05,1,0,Confirmé
C112,60-69,Bretagne,Basique,35,Moyenne,"santé,administratif,accompagnement",Accompagnement,Transport,21.09,90,Facile,2025-05,1,0,Annulé
C113,80+,Occitanie,Premium,21,Faible,"administratif,loisirs",Accompagnement,Aide courses,68.18,90,Moyen,2025-10,1,0,Terminé
C114,60-69,Occitanie,Premium,29,Faible,"administratif,santé,loisirs",Accompagnement,Transport,37.72,30,Moyen,2025-10,1,0,Terminé
C115,60-69,Île-de-France,Basique,44,Moyenne,"accompagnement,loisirs,administratif",Administratif,Gestion courrier,55.61,60,Facile,2025-10,1,1,Terminé
C116,80+,Île-de-France,Basique,36,Faible,"santé,loisirs,administratif",Accompagnement,Transport,57.43,30,Facile,2025-05,1,1,Terminé
C117,80+,Bretagne,Basique,47,Faible,"santé,loisirs,administratif",Accompagnement,Aide courses,43.45,30,Facile,2025-09,1,0,Confirmé
C118,70-79,Auvergne-Rhône-Alpes,Basique,60,Moyenne,santé,Santé,Séance kiné,56.19,60,Moyen,2025-07,1,1,Annulé
C119,70-79,Occitanie,Basique,7,Moyenne,"accompagnement,loisirs",Loisirs,Sortie culturelle,60.18,90,Moyen,2025-08,1,0,Terminé
C120,70-79,Bretagne,Basique,21,Moyenne,"santé,administratif,loisirs",Accompagnement,Visite à domicile,46.78,60,Moyen,2025-04,1,0,Terminé
C121,80+,PACA,Basique,56,Moyenne,santé,Loisirs,Atelier créatif,43.96,60,Avancé,2025-08,1,1,Annulé
C122,70-79,Occitanie,Basique,17,Moyenne,accompagnement,Accompagnement,Visite à domicile,27.06,90,Facile,2025-02,1,1,Terminé
C123,60-69,Île-de-France,Basique,51,Moyenne,"administratif,santé",Santé,Atelier bien-être,49.82,60,Moyen,2025-04,1,1,Terminé
C124,60-69,PACA,Basique,29,Élevée,"administratif,santé",Administratif,Gestion courrier,24.86,30,Facile,2025-11,1,0,Terminé
C125,80+,PACA,Premium,24,Faible,santé,Santé,Atelier bien-être,69.76,90,Avancé,2025-06,1,1,Terminé
C126,60-69,PACA,Basique,14,Élevée,santé,Loisirs,Atelier créatif,58.45,30,Facile,2025-02,1,0,Confirmé
C127,60-69,Auvergne-Rhône-Alpes,Basique,24,Faible,"accompagnement,administratif,santé",Accompagnement,Aide courses,45.82,30,Facile,2025-09,1,0,Annulé
C128,60-69,Occitanie,Basique,3,Élevée,accompagnement,Loisirs,Sortie culturelle,45.57,90,Moyen,2025-03,1,0,Terminé
C129,80+,Bretagne,Basique,4,Faible,"accompagnement,santé",Santé,Séance kiné,54.93,90,Facile,2025-07,1,0,Terminé
C130,80+,Bretagne,Premium,17,Faible,accompagnement,Accompagnement,Aide courses,70.66,90,Facile,2025-04,1,0,Annulé
C131,70-79,Auvergne-Rhône-Alpes,Basique,51,Élevée,"administratif,accompagnement",Santé,Suivi médical,59.52,30,Moyen,2025-12,1,1,Annulé
C132,80+,Occitanie,Premium,27,Moyenne,"santé,loisirs",Accompagnement,Transport,73.36,90,Moyen,2025-03,1,1,Terminé
C133,70-79,Bretagne,Basique,22,Moyenne,santé,Santé,Suivi médical,43.26,90,Facile,2025-11,1,0,Terminé
C134,80+,Auvergne-Rhône-Alpes,Basique,4,Faible,"santé,administratif",Santé,Suivi médical,37.73,30,Avancé,2025-02,1,1,Annulé
C135,60-69,Île-de-France,Basique,57,Moyenne,"administratif,santé,accompagnement",Santé,Séance kiné,78.8,60,Facile,2025-12,1,1,Confirmé
C136,60-69,PACA,Basique,24,Moyenne,"administratif,santé",Santé,Atelier bien-être,75.7,90,Avancé,2025-08,1,0,Terminé
C137,70-79,Île-de-France,Basique,46,Faible,administratif,Accompagnement,Visite à domicile,66.59,90,Facile,2025-06,1,0,Terminé
C138,60-69,PACA,Basique,20,Élevée,"accompagnement,santé,administratif",Loisirs,Atelier mémoire,44.8,30,Moyen,2025-08,1,0,Confirmé
C139,60-69,Occitanie,Basique,36,Faible,"administratif,accompagnement",Accompagnement,Aide courses,36.67,90,Facile,2025-10,1,1,Terminé
C140,70-79,Auvergne-Rhône-Alpes,Basique,40,Moyenne,santé,Accompagnement,Visite à domicile,69.96,60,Facile,2025-02,1,0,Terminé
C141,80+,Auvergne-Rhône-Alpes,Premium,3,Faible,"administratif,santé",Santé,Atelier bien-être,44.76,90,Facile,2025-06,1,1,Confirmé
C142,70-79,Île-de-France,Basique,3,Moyenne,"administratif,loisirs,santé",Santé,Atelier bien-être,49.2,60,Moyen,2025-12,1,0,Terminé
C143,60-69,Bretagne,Premium,57,Élevée,"santé,loisirs,administratif",Loisirs,Sortie culturelle,39.69,90,Facile,2025-04,1,1,Terminé
C144,80+,Île-de-France,Premium,44,Faible,"loisirs,santé",Accompagnement,Transport,70.39,90,Moyen,2025-10,1,1,Confirmé
C145,70-79,PACA,Basique,42,Faible,"administratif,accompagnement",Accompagnement,Aide courses,66.95,90,Facile,2025-10,1,0,Terminé
C146,60-69,Île-de-France,Basique,4,Élevée,"administratif,santé",Administratif,Accès numérique,46.21,30,Facile,2025-09,1,1,Terminé
C147,60-69,Occitanie,Basique,35,Faible,"santé,administratif",Santé,Séance kiné,74.38,60,Facile,2025-06,1,1,Terminé
C148,60-69,Île-de-France,Basique,55,Faible,"accompagnement,santé",Santé,Atelier bien-être,44.67,90,Facile,2025-02,1,1,Terminé
C149,60-69,Bretagne,Basique,43,Élevée,"administratif,loisirs",Administratif,Aide démarches,59.25,60,Facile,2025-01,1,1,Terminé
C150,70-79,Île-de-France,Basique,32,Faible,"accompagnement,administratif,santé",Accompagnement,Aide courses,51.4,30,Facile,2025-12,1,0,Confirmé
C151,70-79,Île-de-France,Basique,45,Moyenne,accompagnement,Administratif,Aide démarches,60.14,60,Avancé,2025-03,1,1,Terminé
C152,60-69,Occitanie,Basique,34,Faible,"loisirs,accompagnement,administratif",Santé,Séance kiné,65.51,60,Facile,2025-08,1,0,Terminé
C153,80+,Auvergne-Rhône-Alpes,Premium,39,Élevée,"accompagnement,loisirs",Santé,Atelier bien-être,40.62,30,Facile,2025-03,1,1,Terminé
C154,80+,PACA,Basique,4,Élevée,"administratif,loisirs",Santé,Séance kiné,58.56,90,Avancé,2025-08,1,0,Terminé
C155,70-79,PACA,Basique,2,Moyenne,"santé,accompagnement,administratif",Loisirs,Atelier mémoire,22.0,30,Moyen,2025-11,1,1,Terminé
C156,80+,Auvergne-Rhône-Alpes,Premium,11,Moyenne,"loisirs,administratif,santé",Loisirs,Atelier mémoire,60.08,30,Facile,2025-12,1,0,Terminé
C157,60-69,Auvergne-Rhône-Alpes,Basique,2,Moyenne,santé,Santé,Suivi médical,78.41,30,Facile,2025-06,1,0,Terminé
C158,70-79,Auvergne-Rhône-Alpes,Premium,43,Moyenne,santé,Administratif,Gestion courrier,30.43,30,Facile,2025-10,1,1,Annulé
C159,60-69,Île-de-France,Premium,17,Élevée,accompagnement,Administratif,Accès numérique,70.62,90,Moyen,2025-04,1,0,Confirmé
C160,70-79,Occitanie,Basique,5,Élevée,loisirs,Santé,Séance kiné,61.65,30,Facile,2025-05,1,1,Terminé
C161,70-79,Occitanie,Premium,38,Élevée,accompagnement,Administratif,Accès numérique,20.01,90,Facile,2025-08,1,1,Annulé
C162,70-79,Auvergne-Rhône-Alpes,Basique,13,Moyenne,accompagnement,Administratif,Gestion courrier,71.5,90,Avancé,2025-03,1,0,Terminé
C163,60-69,Île-de-France,Basique,54,Moyenne,"santé,accompagnement,loisirs",Accompagnement,Aide courses,24.1,30,Facile,2025-01,1,1,Terminé
C164,70-79,Auvergne-Rhône-Alpes,Basique,13,Moyenne,"administratif,santé,loisirs",Loisirs,Sortie culturelle,73.54,90,Moyen,2025-01,1,1,Terminé
C165,60-69,PACA,Basique,20,Faible,loisirs,Santé,Suivi médical,21.96,90,Moyen,2025-08,1,0,Confirmé
C166,70-79,Occitanie,Premium,45,Moyenne,santé,Loisirs,Atelier mémoire,57.88,30,Moyen,2025-04,1,1,Confirmé
C167,60-69,Occitanie,Basique,21,Moyenne,"loisirs,santé",Loisirs,Atelier créatif,44.42,60,Facile,2025-01,1,1,Terminé
C168,80+,Auvergne-Rhône-Alpes,Basique,0,Faible,accompagnement,Loisirs,Atelier mémoire,48.46,30,Moyen,2025-06,1,0,Confirmé
C169,80+,Occitanie,Basique,25,Faible,accompagnement,Santé,Atelier bien-être,36.67,30,Facile,2025-01,1,1,Terminé
C170,70-79,Île-de-France,Basique,10,Faible,"accompagnement,loisirs,administratif",Santé,Séance kiné,44.66,30,Moyen,2025-12,1,0,Terminé
C171,70-79,Occitanie,Premium,7,Élevée,"accompagnement,santé",Administratif,Aide démarches,56.23,60,Facile,2025-04,1,0,Terminé
C172,70-79,Auvergne-Rhône-Alpes,Basique,39,Moyenne,administratif,Loisirs,Atelier créatif,44.76,30,Moyen,2025-02,1,0,Terminé
C173,70-79,Auvergne-Rhône-Alpes,Premium,56,Faible,"administratif,santé,loisirs",Accompagnement,Aide courses,23.99,60,Facile,2025-01,1,1,Terminé
C174,70-79,Bretagne,Basique,36,Faible,loisirs,Accompagnement,Aide courses,24.04,30,Moyen,2025-02,1,1,Confirmé
C175,70-79,PACA,Basique,43,Moyenne,"loisirs,santé,accompagnement",Loisirs,Atelier créatif,54.93,60,Facile,2025-06,1,1,Terminé
C176,70-79,Occitanie,Basique,3,Faible,accompagnement,Santé,Atelier bien-être,58.75,90,Facile,2025-11,1,0,Terminé
C177,70-79,Bretagne,Basique,47,Faible,"accompagnement,loisirs",Santé,Atelier bien-être,49.14,90,Moyen,2025-04,1,1,Annulé
C178,80+,Auvergne-Rhône-Alpes,Basique,49,Faible,accompagnement,Santé,Atelier bien-être,26.97,60,Facile,2025-03,1,0,Terminé
C179,80+,Île-de-France,Basique,58,Élevée,accompagnement,Administratif,Aide démarches,53.22,60,Facile,2025-05,1,1,Terminé
C180,70-79,Bretagne,Basique,48,Moyenne,"administratif,loisirs,santé",Administratif,Accès numérique,29.91,90,Facile,2025-03,1,1,Terminé
C181,60-69,Bretagne,Premium,59,Moyenne,"administratif,accompagnement",Santé,Suivi médical,28.88,30,Facile,2025-04,1,0,Confirmé
C182,70-79,PACA,Premium,44,Moyenne,"administratif,accompagnement",Loisirs,Atelier mémoire,67.65,30,Avancé,2025-12,1,0,Terminé
C183,70-79,Occitanie,Basique,31,Moyenne,"administratif,santé,accompagnement",Santé,Séance kiné,43.19,90,Avancé,2025-03,1,1,Terminé
C184,80+,PACA,Basique,46,Moyenne,"accompagnement,loisirs,administratif",Administratif,Aide démarches,46.35,30,Facile,2025-08,1,1,Terminé
C185,70-79,Bretagne,Premium,60,Élevée,"administratif,santé",Santé,Séance kiné,61.55,60,Moyen,2025-05,1,1,Terminé
C186,60-69,Île-de-France,Premium,34,Élevée,"accompagnement,loisirs",Santé,Suivi médical,40.51,30,Moyen,2025-05,1,1,Terminé
C187,80+,Île-de-France,Premium,35,Moyenne,"loisirs,santé,administratif",Accompagnement,Visite à domicile,44.45,60,Facile,2025-11,1,1,Confirmé
C188,80+,Bretagne,Basique,44,Élevée,"santé,administratif,accompagnement",Santé,Atelier bien-être,67.67,60,Facile,2025-02,1,1,Terminé
C189,60-69,PACA,Basique,7,Moyenne,"santé,loisirs",Loisirs,Atelier mémoire,70.53,30,Moyen,2025-05,1,1,Annulé
C190,70-79,Île-de-France,Basique,16,Moyenne,"santé,administratif",Accompagnement,Visite à domicile,34.52,60,Moyen,2025-08,1,1,Terminé
